iter	Logloss
0	0.664409708
1	0.6394431942
2	0.615985967
3	0.5962268051
4	0.5789625426
5	0.5622979354
6	0.5430473825
7	0.5293370163
8	0.5191065965
9	0.5092396203
10	0.4977301491
11	0.4854419798
12	0.4720295018
13	0.4615909397
14	0.4507861045
15	0.4431434787
16	0.4363048721
17	0.4266959119
18	0.4192859603
19	0.4116585841
20	0.405754837
21	0.3983062474
22	0.3941825577
23	0.3917169074
24	0.3867407246
25	0.3810855334
26	0.3771267085
27	0.3742042149
28	0.3702177518
29	0.3648576678
30	0.3611033232
31	0.3583436821
32	0.3523984133
33	0.3488739794
34	0.3451043244
35	0.3427043296
36	0.3401933408
37	0.335620987
38	0.3322906696
39	0.3294476545
40	0.3270341049
41	0.3246339091
42	0.3213367739
43	0.3188456559
44	0.3156881947
45	0.3138384644
46	0.310549399
47	0.3077738317
48	0.3044189712
49	0.3014134251
