iter	Passed	Remaining
0	20	996
1	38	912
2	67	1051
3	81	939
4	90	817
5	104	763
6	118	725
7	133	700
8	138	630
9	143	574
10	157	559
11	173	548
12	190	540
13	204	526
14	219	512
15	234	498
16	250	486
17	266	473
18	281	459
19	296	445
20	311	430
21	325	413
22	351	412
23	356	386
24	383	383
25	397	367
26	411	350
27	420	330
28	448	324
29	463	309
30	478	293
31	494	277
32	509	262
33	524	247
34	539	231
35	553	215
36	567	199
37	580	183
38	594	167
39	608	152
40	621	136
41	635	121
42	650	105
43	663	90
44	677	75
45	691	60
46	706	45
47	721	30
48	734	14
49	747	0
